candidate	paper_title	PMID	DOI	year	journal	review_or_primary	fully_verified_primary_text	first_claim_id_citing_this_reference	verification_status
CITED2	CITED2 Modulates Breast Cancer Metastatic Ability Through Effects on IKKa	27216153	10.1158/1541-7786.MCR-16-0081	2016	Molecular Cancer Research	primary	True	CITED2-04	full text fetched and quote-verified
CITED2	Down-regulation of CITED2 attenuates breast tumor growth, vessel formation and TGF-beta-induced expression of VEGFA	28008154	10.18632/oncotarget.14048	2016	Oncotarget	primary	True	CITED2-05	full text fetched and quote-verified
CITED2	Aberrant expression of CITED2 promotes prostate cancer metastasis by activating the nucleolin-AKT pathway	30291252	10.1038/s41467-018-06606-2	2018	Nature Communications	primary	True	CITED2-10	full text fetched and quote-verified
CITED2	In vivo genome-wide CRISPR screening identifies CITED2 as a driver of prostate cancer bone metastasis	38454137	10.1038/s41388-024-02995-5	2024	Oncogene	primary	False	CITED2-11	bibliographic identity verified (PMID/DOI/journal/year); narrative content from secondary aggregation, primary full text paywalled/blocked
CITED2	CITED2 Binding to EP300 Regulates Human Spermatogonial Stem Cell Proliferation and Survival Through HSPA6	40313859	10.1155/sci/2362489	2025	Stem Cells International	primary	True	CITED2-12	full text fetched and quote-verified
EML5	Eml5, a novel WD40 domain protein expressed in rat brain	15225882	10.1016/j.gene.2004.04.012	2004	Gene	primary	True	EML5-02	full text fetched and quote-verified
EML5	Echinoderm microtubule-associated protein-like protein 5 in anterior temporal neocortex of patients with intractable epilepsy	26730336		2015	Iranian Journal of Basic Medical Sciences	primary	True	EML5-01	full text fetched and quote-verified
USP34	The ubiquitin-specific protease USP34 regulates axin stability and Wnt/beta-catenin signaling	21383061	10.1128/mcb.01094-10	2011	Molecular and Cellular Biology	primary	True	USP34-01	full text fetched and quote-verified
USP34	Inhibition of ubiquitin-specific protease 34 (USP34) induces epithelial-mesenchymal transition and promotes stemness in mammary epithelial cells	28499884	10.1016/j.cellsig.2017.05.009	2017	Cellular Signalling	primary	True	USP34-02	full text fetched and quote-verified
USP34	Ubiquitin-specific protease USP34 controls osteogenic differentiation and bone formation by regulating BMP2 signaling	30181118	10.15252/embj.201899398	2018	The EMBO Journal	primary	True	USP34-06	full text fetched and quote-verified
USP34	The deubiquitinase USP34 stabilizes SOX2 and induces cell survival and drug resistance in laryngeal squamous cell carcinoma	32783291	10.1002/kjm2.12285	2020	The Kaohsiung Journal of Medical Sciences	primary	False	USP34-04	bibliographic identity verified (PMID/DOI/journal/year); narrative content from secondary aggregation, primary full text paywalled/blocked
USP34	Downregulation of CXXC Finger Protein 4 Leads to a Tamoxifen-resistant Phenotype in Breast Cancer Cells Through Activation of the Wnt/beta-catenin Pathway	31911277	10.1016/j.tranon.2019.12.005	2020	Translational Oncology	primary	True	USP34-08-PATHWAY-CONTEXT	full text fetched and quote-verified
USP34	An siRNA library screen identifies CYLD and USP34 as deubiquitinases that regulate GPCR-p38 MAPK signaling and distinct inflammatory responses	37865315	10.1016/j.jbc.2023.105370	2023	Journal of Biological Chemistry	primary	True	USP34-07	full text fetched and quote-verified
USP34	The Knockdown of USP34 Inhibits the Progression of Hepatocellular Carcinoma by Accelerating c-Myc Degradation	40260316	10.5152/tjg.2025.24335	2025	The Turkish Journal of Gastroenterology	primary	True	USP34-05	full text fetched and quote-verified
USP34	USP34 modulates mitochondrial function in triple-negative breast cancer cells through the eIf3m/MTCH2 axis	42023842	10.1080/01478885.2026.2648740	2026	Journal of Histotechnology	primary	False	USP34-03	bibliographic identity verified (PMID/DOI/journal/year); narrative content from secondary aggregation, primary full text paywalled/blocked
VEZF1	Vezf1: a Zn finger transcription factor restricted to endothelial cells and their precursors	9986727	10.1006/dbio.1998.9144	1999	Developmental Biology	primary	False	VEZF1-02	bibliographic identity verified (PMID/DOI/journal/year); narrative content from secondary aggregation, primary full text paywalled/blocked
VEZF1	Vezf1/DB1 is an endothelial cell-specific transcription factor that regulates expression of the endothelin-1 promoter	11504723	10.1074/jbc.M105166200	2001	Journal of Biological Chemistry	primary	False	VEZF1-04	bibliographic identity verified (PMID/DOI/journal/year); narrative content from secondary aggregation, primary full text paywalled/blocked
VEZF1	Vascular endothelial zinc finger 1 is involved in the regulation of angiogenesis: possible contribution of stathmin/OP18 as a downstream target gene	15031128		2004	Arteriosclerosis, Thrombosis, and Vascular Biology	primary	False	VEZF1-03	bibliographic identity verified (PMID/DOI/journal/year); narrative content from secondary aggregation, primary full text paywalled/blocked
VEZF1	Dosage-dependent requirement for mouse Vezf1 in vascular system development	15882861	10.1016/j.ydbio.2005.04.003	2005	Developmental Biology	primary	True	VEZF1-01	full text fetched and quote-verified
VEZF1	Vezf1 regulates genomic DNA methylation through its effects on expression of DNA methyltransferase Dnmt3b	18676812	10.1101/gad.1658408	2008	Genes & Development	primary	True	VEZF1-05	full text fetched and quote-verified
VEZF1	RhoB controls coordination of adult angiogenesis and lymphangiogenesis following injury by regulating VEZF1-mediated transcription		10.1038/ncomms3824	2013	Nature Communications	primary	True	VEZF1-07	full text fetched and quote-verified
VEZF1	The transcription factor Vezf1 represses the expression of the antiangiogenic factor Cited2 in endothelial cells	29794136	10.1074/jbc.RA118.002911	2018	Journal of Biological Chemistry	primary	True	VEZF1-06	full text fetched and quote-verified
VEZF1	VEZF1, destabilized by STUB1, affects cellular growth and metastasis of hepatocellular carcinoma by transcriptionally regulating PAQR4	36241701	10.1038/s41417-022-00540-8	2023	Cancer Gene Therapy	primary	True	VEZF1-08	full text fetched and quote-verified
VEZF1	GFAT1 promotes the progression of hepatocellular carcinoma via enhancing the O-GlcNAcylation of VEZF1	40858565	10.1038/s41419-025-07975-5	2025	Cell Death & Disease	primary	True	VEZF1-09	full text fetched and quote-verified
