gene_symbol	crispr_effect_size	crispr_fdr	crispr_direction	crispr_direction_description	tamr_vs_mcf7_log2fc	tamr_vs_mcf7_fdr	tamr_vs_fasr_log2fc	tamr_vs_fasr_fdr	mcf7_baseline_log2_tpm_plus1	gse118713_de_na_reason	evidence_class	evidence_class_label	primary_rna_direction	rna_pattern_description
EIF4ENIF1	-1.5506541534723943	0.0372575660229722	sensitising_knockout	Knockout is relatively depleted under E2+4-OHT versus E2 alone (associated with increased tamoxifen sensitivity).	0.53145903933498	0.0529761966227399	1.20505283442699	0.0003365029185869	4.04758490675983		SECONDARY_CONTEXT_SUPPORT	negative CRISPR effect, DE available, not significant in TAMR_vs_MCF7, significant TAMR_vs_FASR only (secondary/contextual endocrine-resistance evidence, not tamoxifen-specific)	not_applicable	Significant TAMR-associated expression difference vs FASR only (FDR<0.05, up); TAMR_vs_MCF7 not significant at this threshold.
HMGB1	-1.4740651006700034	0.0372575660229722	sensitising_knockout	Knockout is relatively depleted under E2+4-OHT versus E2 alone (associated with increased tamoxifen sensitivity).	-0.0794061555047207	0.731817935481995	1.05475404542941	0.0001938243914095	10.469741756796765		SECONDARY_CONTEXT_SUPPORT	negative CRISPR effect, DE available, not significant in TAMR_vs_MCF7, significant TAMR_vs_FASR only (secondary/contextual endocrine-resistance evidence, not tamoxifen-specific)	not_applicable	Significant TAMR-associated expression difference vs FASR only (FDR<0.05, up); TAMR_vs_MCF7 not significant at this threshold.
ICK	-1.2245539921905229	0.0372575660229722	sensitising_knockout	Knockout is relatively depleted under E2+4-OHT versus E2 alone (associated with increased tamoxifen sensitivity).	0.106733026979587	0.663325990388584	0.159263852234927	0.423799941945005	2.951234890613648		NO_SIGNIFICANT_RNA_SUPPORT	negative CRISPR effect, DE available, no significant RNA support in either contrast	not_applicable	No significant TAMR-associated expression difference detected in either contrast at FDR<0.05.
SUPT4H1	-1.6837884606622353	0.0372575660229722	sensitising_knockout	Knockout is relatively depleted under E2+4-OHT versus E2 alone (associated with increased tamoxifen sensitivity).	0.037335300465398	0.893464168113868	0.37378435412768	0.0738408348576565	7.3063905623168415		NO_SIGNIFICANT_RNA_SUPPORT	negative CRISPR effect, DE available, no significant RNA support in either contrast	not_applicable	No significant TAMR-associated expression difference detected in either contrast at FDR<0.05.
VEZF1	-1.602445388833546	0.0372575660229722	sensitising_knockout	Knockout is relatively depleted under E2+4-OHT versus E2 alone (associated with increased tamoxifen sensitivity).	0.426552278550176	0.237500391027449	1.74439416761153	0.0002282310194573	4.845240317115391		SECONDARY_CONTEXT_SUPPORT	negative CRISPR effect, DE available, not significant in TAMR_vs_MCF7, significant TAMR_vs_FASR only (secondary/contextual endocrine-resistance evidence, not tamoxifen-specific)	not_applicable	Significant TAMR-associated expression difference vs FASR only (FDR<0.05, up); TAMR_vs_MCF7 not significant at this threshold.
DPP9	1.3751072314321586	0.0416851803622835	tolerance_associated_knockout	Knockout is relatively enriched under E2+4-OHT versus E2 alone (associated with relative fitness/tolerance under 4-OHT).	-1.04265717095817	0.0021070783203592	0.676227309284662	0.011976425706191	6.08291025086847		not_applicable_not_a_sensitising_knockout	not applicable -- gene is not a sensitising_knockout, so it is not scored for the inhibition-target question	not_applicable	Significant TAMR-associated expression difference vs both MCF7 and FASR (FDR<0.05): down vs MCF7, up vs FASR.
KDM6A	2.259563025014412	0.0416851803622835	tolerance_associated_knockout	Knockout is relatively enriched under E2+4-OHT versus E2 alone (associated with relative fitness/tolerance under 4-OHT).	0.146645780508053	0.562375182137919	0.540107592718189	0.0207509351634455	3.5035409407886657		not_applicable_not_a_sensitising_knockout	not applicable -- gene is not a sensitising_knockout, so it is not scored for the inhibition-target question	not_applicable	Significant TAMR-associated expression difference vs FASR only (FDR<0.05, up); TAMR_vs_MCF7 not significant at this threshold.
USP34	-1.3912980676838431	0.0416851803622835	sensitising_knockout	Knockout is relatively depleted under E2+4-OHT versus E2 alone (associated with increased tamoxifen sensitivity).	0.590437436807219	0.0073136129571408	0.0195025681205152	0.911804815437693	5.109054966421399		PRIMARY_RESISTANCE_SUPPORT	negative CRISPR effect, DE available, significant TAMR_vs_MCF7 (primary resistance-expression evidence)	elevated_in_TAMR	Significant TAMR-associated expression difference vs MCF7 only (FDR<0.05, up); TAMR_vs_FASR not significant at this threshold.
PET117	-1.8279505886266567	0.0419031835559097	sensitising_knockout	Knockout is relatively depleted under E2+4-OHT versus E2 alone (associated with increased tamoxifen sensitivity).	-0.0587411607946384	0.783384004604082	0.350248005764482	0.046406480750034	4.123281251519637		SECONDARY_CONTEXT_SUPPORT	negative CRISPR effect, DE available, not significant in TAMR_vs_MCF7, significant TAMR_vs_FASR only (secondary/contextual endocrine-resistance evidence, not tamoxifen-specific)	not_applicable	Significant TAMR-associated expression difference vs FASR only (FDR<0.05, up); TAMR_vs_MCF7 not significant at this threshold.
RASA2	1.2969414819378675	0.0419031835559097	tolerance_associated_knockout	Knockout is relatively enriched under E2+4-OHT versus E2 alone (associated with relative fitness/tolerance under 4-OHT).	0.0429116506321199	0.887661109172614	-0.0771099320565356	0.73459294427115	2.066419243753652		not_applicable_not_a_sensitising_knockout	not applicable -- gene is not a sensitising_knockout, so it is not scored for the inhibition-target question	not_applicable	No significant TAMR-associated expression difference detected in either contrast at FDR<0.05.
CUX1	1.2655384098421134	0.044987385842584	tolerance_associated_knockout	Knockout is relatively enriched under E2+4-OHT versus E2 alone (associated with relative fitness/tolerance under 4-OHT).	-0.899390794469496	0.0007915850161576	-0.580034589771422	0.005540506700525	5.784972599847112		not_applicable_not_a_sensitising_knockout	not applicable -- gene is not a sensitising_knockout, so it is not scored for the inhibition-target question	not_applicable	Significant TAMR-associated expression difference vs both MCF7 and FASR (FDR<0.05): down vs MCF7, down vs FASR.
TFAP2C	1.5406554782432211	0.0482149029216125	tolerance_associated_knockout	Knockout is relatively enriched under E2+4-OHT versus E2 alone (associated with relative fitness/tolerance under 4-OHT).	-1.09359983284206	0.0009588641192333	-0.463199077740875	0.0454848684305003	6.761150819545087		not_applicable_not_a_sensitising_knockout	not applicable -- gene is not a sensitising_knockout, so it is not scored for the inhibition-target question	not_applicable	Significant TAMR-associated expression difference vs both MCF7 and FASR (FDR<0.05): down vs MCF7, down vs FASR.
PTPN3	1.6135574502712569	0.0679959978896869	tolerance_associated_knockout	Knockout is relatively enriched under E2+4-OHT versus E2 alone (associated with relative fitness/tolerance under 4-OHT).	-0.0998815631979553	0.668967577840779	0.443349480495833	0.0306643174549468	3.854643087358101		not_applicable_not_a_sensitising_knockout	not applicable -- gene is not a sensitising_knockout, so it is not scored for the inhibition-target question	not_applicable	Significant TAMR-associated expression difference vs FASR only (FDR<0.05, up); TAMR_vs_MCF7 not significant at this threshold.
TSR3	-1.6187529731582495	0.0679959978896869	sensitising_knockout	Knockout is relatively depleted under E2+4-OHT versus E2 alone (associated with increased tamoxifen sensitivity).	-0.467160834528706	0.19102192420909	-0.574859650108749	0.0726153468271878	5.905061744010752		NO_SIGNIFICANT_RNA_SUPPORT	negative CRISPR effect, DE available, no significant RNA support in either contrast	not_applicable	No significant TAMR-associated expression difference detected in either contrast at FDR<0.05.
CTDNEP1	-1.3929700500469568	0.0691834175190324	sensitising_knockout	Knockout is relatively depleted under E2+4-OHT versus E2 alone (associated with increased tamoxifen sensitivity).	-0.354663041745843	0.25349742818574	0.88464025425656	0.0057909543819809	6.952592037261899		SECONDARY_CONTEXT_SUPPORT	negative CRISPR effect, DE available, not significant in TAMR_vs_MCF7, significant TAMR_vs_FASR only (secondary/contextual endocrine-resistance evidence, not tamoxifen-specific)	not_applicable	Significant TAMR-associated expression difference vs FASR only (FDR<0.05, up); TAMR_vs_MCF7 not significant at this threshold.
ILK	2.1731202681634	0.0783442627744789	tolerance_associated_knockout	Knockout is relatively enriched under E2+4-OHT versus E2 alone (associated with relative fitness/tolerance under 4-OHT).	-0.11155383502537	0.630057583961334	-0.0511507652469909	0.795684612241108	5.920746048376561		not_applicable_not_a_sensitising_knockout	not applicable -- gene is not a sensitising_knockout, so it is not scored for the inhibition-target question	not_applicable	No significant TAMR-associated expression difference detected in either contrast at FDR<0.05.
SPRED2	1.6872268467811598	0.0783442627744789	tolerance_associated_knockout	Knockout is relatively enriched under E2+4-OHT versus E2 alone (associated with relative fitness/tolerance under 4-OHT).	0.405154932775937	0.123396149990115	2.38307063443568	2.74271876187842e-06	4.585238179529042		not_applicable_not_a_sensitising_knockout	not applicable -- gene is not a sensitising_knockout, so it is not scored for the inhibition-target question	not_applicable	Significant TAMR-associated expression difference vs FASR only (FDR<0.05, up); TAMR_vs_MCF7 not significant at this threshold.
TSC1	1.2814671009362222	0.0829395294976029	tolerance_associated_knockout	Knockout is relatively enriched under E2+4-OHT versus E2 alone (associated with relative fitness/tolerance under 4-OHT).	-0.282165443386706	0.30361982250427	-0.208456133486715	0.376922215376714	3.2846627713189407		not_applicable_not_a_sensitising_knockout	not applicable -- gene is not a sensitising_knockout, so it is not scored for the inhibition-target question	not_applicable	No significant TAMR-associated expression difference detected in either contrast at FDR<0.05.
