drug_target_gene	present_in_project_crossdataset_table	hany_crispr_fdr	hany_crispr_direction	gse118713_fdr	gse118713_direction	gse240112_tumor_fdr	gse240112_tumor_direction	gse111151_fdr	gse111151_direction	gse245601_epi_fdr	gse245601_epi_direction	notes
HDAC1	True	0.8163859673702398	tolerance_associated_KO	0.385835331994756	up_in_TAMR	0.743624549288639	up	0.664916686104218	down	0.225689492939147	down	Frozen shortlist unaltered by this lookup; DepMap dependency not looked up here (that analysis is scoped to the 4 frozen candidates only, not drug-target genes). Direction columns report only the SIGN of that dataset's own log2FC/effect for the drug-target gene itself (up/down in resistant vs sensitive, or sensitising/tolerance for Hany) -- they say nothing about whether that gene's baseline expression drives GDSC drug response; any apparent convergence with the GDSC finding above is a correlational echo across independent datasets, not a validated mechanistic link.
HDAC2	True	0.9990839080152084	tolerance_associated_KO	0.120960161143276	up_in_TAMR	0.246085324840002	up	0.667792670671113	down	0.483843891438859	down	Frozen shortlist unaltered by this lookup; DepMap dependency not looked up here (that analysis is scoped to the 4 frozen candidates only, not drug-target genes). Direction columns report only the SIGN of that dataset's own log2FC/effect for the drug-target gene itself (up/down in resistant vs sensitive, or sensitising/tolerance for Hany) -- they say nothing about whether that gene's baseline expression drives GDSC drug response; any apparent convergence with the GDSC finding above is a correlational echo across independent datasets, not a validated mechanistic link.
JAK1	True	0.7886648527720073	tolerance_associated_KO	0.0067266945518338	down_in_TAMR	0.40694980149255	up	0.707287717868987	down	0.870074386603723	up	Frozen shortlist unaltered by this lookup; DepMap dependency not looked up here (that analysis is scoped to the 4 frozen candidates only, not drug-target genes). Direction columns report only the SIGN of that dataset's own log2FC/effect for the drug-target gene itself (up/down in resistant vs sensitive, or sensitising/tolerance for Hany) -- they say nothing about whether that gene's baseline expression drives GDSC drug response; any apparent convergence with the GDSC finding above is a correlational echo across independent datasets, not a validated mechanistic link.
M4K2	False											Frozen shortlist unaltered by this lookup; DepMap dependency not looked up here (that analysis is scoped to the 4 frozen candidates only, not drug-target genes). Direction columns report only the SIGN of that dataset's own log2FC/effect for the drug-target gene itself (up/down in resistant vs sensitive, or sensitising/tolerance for Hany) -- they say nothing about whether that gene's baseline expression drives GDSC drug response; any apparent convergence with the GDSC finding above is a correlational echo across independent datasets, not a validated mechanistic link.
Microtubule stabiliser	False											Frozen shortlist unaltered by this lookup; DepMap dependency not looked up here (that analysis is scoped to the 4 frozen candidates only, not drug-target genes). Direction columns report only the SIGN of that dataset's own log2FC/effect for the drug-target gene itself (up/down in resistant vs sensitive, or sensitising/tolerance for Hany) -- they say nothing about whether that gene's baseline expression drives GDSC drug response; any apparent convergence with the GDSC finding above is a correlational echo across independent datasets, not a validated mechanistic link.
Mutant RAS	False											Frozen shortlist unaltered by this lookup; DepMap dependency not looked up here (that analysis is scoped to the 4 frozen candidates only, not drug-target genes). Direction columns report only the SIGN of that dataset's own log2FC/effect for the drug-target gene itself (up/down in resistant vs sensitive, or sensitising/tolerance for Hany) -- they say nothing about whether that gene's baseline expression drives GDSC drug response; any apparent convergence with the GDSC finding above is a correlational echo across independent datasets, not a validated mechanistic link.
NAMPT	True	0.9902809554152792	tolerance_associated_KO	0.0195312592111746	up_in_TAMR	0.209751165173282	down	0.958186708093826	down	0.733026392303333	up	Frozen shortlist unaltered by this lookup; DepMap dependency not looked up here (that analysis is scoped to the 4 frozen candidates only, not drug-target genes). Direction columns report only the SIGN of that dataset's own log2FC/effect for the drug-target gene itself (up/down in resistant vs sensitive, or sensitising/tolerance for Hany) -- they say nothing about whether that gene's baseline expression drives GDSC drug response; any apparent convergence with the GDSC finding above is a correlational echo across independent datasets, not a validated mechanistic link.
NTRK1	True	0.7775440804794728	tolerance_associated_KO									Frozen shortlist unaltered by this lookup; DepMap dependency not looked up here (that analysis is scoped to the 4 frozen candidates only, not drug-target genes). Direction columns report only the SIGN of that dataset's own log2FC/effect for the drug-target gene itself (up/down in resistant vs sensitive, or sensitising/tolerance for Hany) -- they say nothing about whether that gene's baseline expression drives GDSC drug response; any apparent convergence with the GDSC finding above is a correlational echo across independent datasets, not a validated mechanistic link.
NTRK2	True	0.7847495820608489	tolerance_associated_KO					0.607124777910953	up	0.410803503803938	down	Frozen shortlist unaltered by this lookup; DepMap dependency not looked up here (that analysis is scoped to the 4 frozen candidates only, not drug-target genes). Direction columns report only the SIGN of that dataset's own log2FC/effect for the drug-target gene itself (up/down in resistant vs sensitive, or sensitising/tolerance for Hany) -- they say nothing about whether that gene's baseline expression drives GDSC drug response; any apparent convergence with the GDSC finding above is a correlational echo across independent datasets, not a validated mechanistic link.
NTRK3	True	0.806601841205426	tolerance_associated_KO					0.886497063948234	down			Frozen shortlist unaltered by this lookup; DepMap dependency not looked up here (that analysis is scoped to the 4 frozen candidates only, not drug-target genes). Direction columns report only the SIGN of that dataset's own log2FC/effect for the drug-target gene itself (up/down in resistant vs sensitive, or sensitising/tolerance for Hany) -- they say nothing about whether that gene's baseline expression drives GDSC drug response; any apparent convergence with the GDSC finding above is a correlational echo across independent datasets, not a validated mechanistic link.
Sphingosine Kinase	False											Frozen shortlist unaltered by this lookup; DepMap dependency not looked up here (that analysis is scoped to the 4 frozen candidates only, not drug-target genes). Direction columns report only the SIGN of that dataset's own log2FC/effect for the drug-target gene itself (up/down in resistant vs sensitive, or sensitising/tolerance for Hany) -- they say nothing about whether that gene's baseline expression drives GDSC drug response; any apparent convergence with the GDSC finding above is a correlational echo across independent datasets, not a validated mechanistic link.
TAK1	False											Frozen shortlist unaltered by this lookup; DepMap dependency not looked up here (that analysis is scoped to the 4 frozen candidates only, not drug-target genes). Direction columns report only the SIGN of that dataset's own log2FC/effect for the drug-target gene itself (up/down in resistant vs sensitive, or sensitising/tolerance for Hany) -- they say nothing about whether that gene's baseline expression drives GDSC drug response; any apparent convergence with the GDSC finding above is a correlational echo across independent datasets, not a validated mechanistic link.
