source_gene	target_gene	interaction_type	database_source	confidence	pathway	evidence_notes
JAG1	CTNNB1	functional_association	STRING	0.796		combined_score=0.796; escore=0.098; dscore=0.000; STRING network_type=physical membership=False
JAG1	HEY1	functional_association	STRING	0.926		combined_score=0.926; escore=0.071; dscore=0.000; STRING network_type=physical membership=False
TBX3	SOX2	functional_association	STRING	0.907		combined_score=0.907; escore=0.308; dscore=0.000; STRING network_type=physical membership=False
ESPL1	ANAPC15	functional_association	STRING	0.702		combined_score=0.702; escore=0.000; dscore=0.500; STRING network_type=physical membership=False
ESPL1	SPC25	functional_association	STRING	0.763		combined_score=0.763; escore=0.000; dscore=0.500; STRING network_type=physical membership=False
ESPL1	CCNB2	functional_association	STRING	0.794		combined_score=0.794; escore=0.114; dscore=0.000; STRING network_type=physical membership=False
ESPL1	NUF2	functional_association	STRING	0.841		combined_score=0.841; escore=0.000; dscore=0.500; STRING network_type=physical membership=False
ESPL1	CDC16	functional_association	STRING	0.873		combined_score=0.873; escore=0.422; dscore=0.500; STRING network_type=physical membership=False
ESPL1	CENPE	functional_association	STRING	0.905		combined_score=0.905; escore=0.000; dscore=0.500; STRING network_type=physical membership=False
ESPL1	BIRC5	functional_association	STRING	0.917		combined_score=0.917; escore=0.000; dscore=0.500; STRING network_type=physical membership=False
ESPL1	CENPF	functional_association	STRING	0.926		combined_score=0.926; escore=0.000; dscore=0.500; STRING network_type=physical membership=False
ESPL1	UBE2C	functional_association	STRING	0.927		combined_score=0.927; escore=0.000; dscore=0.500; STRING network_type=physical membership=False
ESPL1	CDCA5	functional_association	STRING	0.93		combined_score=0.930; escore=0.000; dscore=0.500; STRING network_type=physical membership=False
ESPL1	INCENP	functional_association	STRING	0.944		combined_score=0.944; escore=0.000; dscore=0.500; STRING network_type=physical membership=False
ESPL1	CDCA8	functional_association	STRING	0.972		combined_score=0.972; escore=0.000; dscore=0.500; STRING network_type=physical membership=False
ESPL1	AURKB	functional_association	STRING	0.985		combined_score=0.985; escore=0.000; dscore=0.500; STRING network_type=physical membership=False
ESPL1	CDC20	functional_association	STRING	0.988		combined_score=0.988; escore=0.095; dscore=0.500; STRING network_type=physical membership=False
ESPL1	BUB1B	functional_association	STRING	0.989		combined_score=0.989; escore=0.000; dscore=0.500; STRING network_type=physical membership=False
ESPL1	PLK1	functional_association	STRING	0.994		combined_score=0.994; escore=0.746; dscore=0.500; STRING network_type=physical membership=False
ESPL1	SMC3	functional_association	STRING	0.994		combined_score=0.994; escore=0.135; dscore=0.900; STRING network_type=physical membership=False
ESPL1	PTTG1	physical_PPI	STRING	0.999		combined_score=0.999; escore=0.999; dscore=0.900; STRING network_type=physical membership=True
PSMB7	UBC	physical_PPI	STRING	0.929		combined_score=0.929; escore=0.858; dscore=0.500; STRING network_type=physical membership=True
PSMB7	UBA52	physical_PPI	STRING	0.934		combined_score=0.934; escore=0.853; dscore=0.500; STRING network_type=physical membership=True
PSMB7	UBB	physical_PPI	STRING	0.934		combined_score=0.934; escore=0.857; dscore=0.500; STRING network_type=physical membership=True
PSMB7	RPS27A	physical_PPI	STRING	0.959		combined_score=0.959; escore=0.902; dscore=0.500; STRING network_type=physical membership=True
PSMB7	PSMC5	physical_PPI	STRING	0.997		combined_score=0.997; escore=0.983; dscore=0.000; STRING network_type=physical membership=True
PSMB7	PSMB6	physical_PPI	STRING	0.999		combined_score=0.999; escore=0.999; dscore=0.900; STRING network_type=physical membership=True
PSMB7	PSMC3	physical_PPI	STRING	0.999		combined_score=0.999; escore=0.978; dscore=0.800; STRING network_type=physical membership=True
KMT2C	UBB	physical_PPI	STRING	0.802		combined_score=0.802; escore=0.800; dscore=0.000; STRING network_type=physical membership=True
KMT2C	UBC	physical_PPI	STRING	0.809		combined_score=0.809; escore=0.800; dscore=0.000; STRING network_type=physical membership=True
KMT2C	RPS27A	physical_PPI	STRING	0.809		combined_score=0.809; escore=0.800; dscore=0.000; STRING network_type=physical membership=True
KMT2C	UBA52	physical_PPI	STRING	0.81		combined_score=0.810; escore=0.800; dscore=0.000; STRING network_type=physical membership=True
KMT2C	CREBBP	functional_association	STRING	0.822		combined_score=0.822; escore=0.110; dscore=0.000; STRING network_type=physical membership=False
KMT2C	TP53	functional_association	STRING	0.858		combined_score=0.858; escore=0.292; dscore=0.000; STRING network_type=physical membership=False
KMT2C	EP300	functional_association	STRING	0.884		combined_score=0.884; escore=0.110; dscore=0.500; STRING network_type=physical membership=False
KMT2C	KDM6A	physical_PPI	STRING	0.999		combined_score=0.999; escore=0.679; dscore=0.900; STRING network_type=physical membership=True
CREBBP	KDM6A	functional_association	STRING	0.811		combined_score=0.811; escore=0.102; dscore=0.000; STRING network_type=physical membership=False
CREBBP	FGFR1	physical_PPI	STRING	0.923		combined_score=0.923; escore=0.779; dscore=0.000; STRING network_type=physical membership=True
CREBBP	SRC	physical_PPI	STRING	0.94		combined_score=0.940; escore=0.513; dscore=0.000; STRING network_type=physical membership=True
CREBBP	LEF1	physical_PPI	STRING	0.961		combined_score=0.961; escore=0.125; dscore=0.900; STRING network_type=physical membership=True
CREBBP	EPAS1	physical_PPI	STRING	0.986		combined_score=0.986; escore=0.400; dscore=0.900; STRING network_type=physical membership=True
CREBBP	FOXO1	physical_PPI	STRING	0.993		combined_score=0.993; escore=0.810; dscore=0.900; STRING network_type=physical membership=True
CREBBP	FOXO3	physical_PPI	STRING	0.995		combined_score=0.995; escore=0.971; dscore=0.500; STRING network_type=physical membership=True
CREBBP	CITED2	physical_PPI	STRING	0.995		combined_score=0.995; escore=0.926; dscore=0.500; STRING network_type=physical membership=True
CREBBP	SMAD3	physical_PPI	STRING	0.995		combined_score=0.995; escore=0.872; dscore=0.000; STRING network_type=physical membership=True
CREBBP	PPARG	physical_PPI	STRING	0.998		combined_score=0.998; escore=0.982; dscore=0.500; STRING network_type=physical membership=True
CREBBP	CTNNB1	physical_PPI	STRING	0.999		combined_score=0.999; escore=0.886; dscore=0.900; STRING network_type=physical membership=True
CREBBP	HIF1A	physical_PPI	STRING	0.999		combined_score=0.999; escore=0.991; dscore=0.900; STRING network_type=physical membership=True
CREBBP	TP53	physical_PPI	STRING	0.999		combined_score=0.999; escore=0.998; dscore=0.900; STRING network_type=physical membership=True
CREBBP	EP300	physical_PPI	STRING	0.999		combined_score=0.999; escore=0.782; dscore=0.900; STRING network_type=physical membership=True
EP300	SOX2	functional_association	STRING	0.705		combined_score=0.705; escore=0.229; dscore=0.000; STRING network_type=physical membership=False
EP300	HEY1	functional_association	STRING	0.73		combined_score=0.730; escore=0.046; dscore=0.500; STRING network_type=physical membership=False
EP300	SMC3	functional_association	STRING	0.748		combined_score=0.748; escore=0.074; dscore=0.500; STRING network_type=physical membership=False
EP300	CDC20	functional_association	STRING	0.75		combined_score=0.750; escore=0.691; dscore=0.000; STRING network_type=physical membership=False
EP300	UBC	functional_association	STRING	0.791		combined_score=0.791; escore=0.510; dscore=0.500; STRING network_type=physical membership=False
EP300	TFAP2A	physical_PPI	STRING	0.856		combined_score=0.856; escore=0.512; dscore=0.500; STRING network_type=physical membership=True
EP300	KDM1A	functional_association	STRING	0.899		combined_score=0.899; escore=0.292; dscore=0.500; STRING network_type=physical membership=False
EP300	KDM6A	functional_association	STRING	0.902		combined_score=0.902; escore=0.067; dscore=0.500; STRING network_type=physical membership=False
EP300	SRC	physical_PPI	STRING	0.959		combined_score=0.959; escore=0.299; dscore=0.000; STRING network_type=physical membership=True
EP300	LEF1	physical_PPI	STRING	0.981		combined_score=0.981; escore=0.354; dscore=0.900; STRING network_type=physical membership=True
EP300	FOXO1	physical_PPI	STRING	0.984		combined_score=0.984; escore=0.809; dscore=0.500; STRING network_type=physical membership=True
EP300	FOXO3	physical_PPI	STRING	0.991		combined_score=0.991; escore=0.666; dscore=0.700; STRING network_type=physical membership=True
EP300	PPARG	physical_PPI	STRING	0.997		combined_score=0.997; escore=0.860; dscore=0.500; STRING network_type=physical membership=True
EP300	EPAS1	physical_PPI	STRING	0.998		combined_score=0.998; escore=0.690; dscore=0.900; STRING network_type=physical membership=True
EP300	TP53	physical_PPI	STRING	0.999		combined_score=0.999; escore=0.999; dscore=0.900; STRING network_type=physical membership=True
EP300	HIF1A	physical_PPI	STRING	0.999		combined_score=0.999; escore=0.999; dscore=0.900; STRING network_type=physical membership=True
EP300	SMAD3	physical_PPI	STRING	0.999		combined_score=0.999; escore=0.926; dscore=0.500; STRING network_type=physical membership=True
EP300	CTNNB1	physical_PPI	STRING	0.999		combined_score=0.999; escore=0.899; dscore=0.900; STRING network_type=physical membership=True
EP300	CITED2	physical_PPI	STRING	0.999		combined_score=0.999; escore=0.983; dscore=0.500; STRING network_type=physical membership=True
EPAS1	PSMC3	functional_association	STRING	0.706		combined_score=0.706; escore=0.292; dscore=0.400; STRING network_type=physical membership=False
EPAS1	TP53	functional_association	STRING	0.736		combined_score=0.736; escore=0.000; dscore=0.000; STRING network_type=physical membership=False
EPAS1	CTNNB1	functional_association	STRING	0.75		combined_score=0.750; escore=0.161; dscore=0.000; STRING network_type=physical membership=False
EPAS1	CITED2	functional_association	STRING	0.79		combined_score=0.790; escore=0.000; dscore=0.400; STRING network_type=physical membership=False
EPAS1	SMAD3	functional_association	STRING	0.801		combined_score=0.801; escore=0.598; dscore=0.000; STRING network_type=physical membership=False
EPAS1	SOX2	functional_association	STRING	0.874		combined_score=0.874; escore=0.095; dscore=0.750; STRING network_type=physical membership=False
EPAS1	HIF1A	physical_PPI	STRING	0.998		combined_score=0.998; escore=0.331; dscore=0.900; STRING network_type=physical membership=True
WNT5A	LEF1	functional_association	STRING	0.727		combined_score=0.727; escore=0.129; dscore=0.000; STRING network_type=physical membership=False
WNT5A	CTNNB1	functional_association	STRING	0.869		combined_score=0.869; escore=0.137; dscore=0.000; STRING network_type=physical membership=False
WNT5A	WNT4	functional_association	STRING	0.871		combined_score=0.871; escore=0.588; dscore=0.500; STRING network_type=physical membership=False
WNT5A	PTK7	physical_PPI	STRING	0.983		combined_score=0.983; escore=0.133; dscore=0.000; STRING network_type=physical membership=True
WNT5A	LRP5	physical_PPI	STRING	0.993		combined_score=0.993; escore=0.095; dscore=0.650; STRING network_type=physical membership=True
CENPE	CDCA5	functional_association	STRING	0.793		combined_score=0.793; escore=0.000; dscore=0.000; STRING network_type=physical membership=False
CENPE	PTTG1	functional_association	STRING	0.796		combined_score=0.796; escore=0.000; dscore=0.000; STRING network_type=physical membership=False
CENPE	UBE2C	functional_association	STRING	0.803		combined_score=0.803; escore=0.045; dscore=0.000; STRING network_type=physical membership=False
CENPE	INCENP	functional_association	STRING	0.811		combined_score=0.811; escore=0.000; dscore=0.000; STRING network_type=physical membership=False
CENPE	CCNB2	functional_association	STRING	0.942		combined_score=0.942; escore=0.051; dscore=0.400; STRING network_type=physical membership=False
CENPE	CDCA8	functional_association	STRING	0.956		combined_score=0.956; escore=0.000; dscore=0.000; STRING network_type=physical membership=False
CENPE	BIRC5	physical_PPI	STRING	0.963		combined_score=0.963; escore=0.060; dscore=0.000; STRING network_type=physical membership=True
CENPE	AURKB	functional_association	STRING	0.975		combined_score=0.975; escore=0.100; dscore=0.000; STRING network_type=physical membership=False
CENPE	PLK1	functional_association	STRING	0.977		combined_score=0.977; escore=0.066; dscore=0.800; STRING network_type=physical membership=False
CENPE	CDC20	functional_association	STRING	0.989		combined_score=0.989; escore=0.049; dscore=0.800; STRING network_type=physical membership=False
CENPE	NUF2	physical_PPI	STRING	0.996		combined_score=0.996; escore=0.484; dscore=0.000; STRING network_type=physical membership=True
CENPE	BUB1B	physical_PPI	STRING	0.999		combined_score=0.999; escore=0.636; dscore=0.500; STRING network_type=physical membership=True
CENPE	CENPF	physical_PPI	STRING	0.999		combined_score=0.999; escore=0.230; dscore=0.000; STRING network_type=physical membership=True
LEF1	LRP5	functional_association	STRING	0.728		combined_score=0.728; escore=0.000; dscore=0.000; STRING network_type=physical membership=False
LEF1	MSX1	functional_association	STRING	0.829		combined_score=0.829; escore=0.000; dscore=0.000; STRING network_type=physical membership=False
LEF1	SMAD3	physical_PPI	STRING	0.978		combined_score=0.978; escore=0.540; dscore=0.000; STRING network_type=physical membership=True
LEF1	CTNNB1	physical_PPI	STRING	0.999		combined_score=0.999; escore=0.996; dscore=0.900; STRING network_type=physical membership=True
TP53	HEY1	functional_association	STRING	0.703		combined_score=0.703; escore=0.510; dscore=0.000; STRING network_type=physical membership=False
TP53	KDM6A	functional_association	STRING	0.71		combined_score=0.710; escore=0.292; dscore=0.000; STRING network_type=physical membership=False
TP53	CITED2	functional_association	STRING	0.723		combined_score=0.723; escore=0.000; dscore=0.000; STRING network_type=physical membership=False
TP53	BUB1B	functional_association	STRING	0.745		combined_score=0.745; escore=0.164; dscore=0.000; STRING network_type=physical membership=False
TP53	NF2	functional_association	STRING	0.773		combined_score=0.773; escore=0.185; dscore=0.000; STRING network_type=physical membership=False
TP53	PTTG1	functional_association	STRING	0.775		combined_score=0.775; escore=0.510; dscore=0.000; STRING network_type=physical membership=False
TP53	UBB	functional_association	STRING	0.799		combined_score=0.799; escore=0.227; dscore=0.500; STRING network_type=physical membership=False
TP53	NF1	functional_association	STRING	0.88		combined_score=0.880; escore=0.000; dscore=0.000; STRING network_type=physical membership=False
TP53	SOX2	functional_association	STRING	0.883		combined_score=0.883; escore=0.000; dscore=0.000; STRING network_type=physical membership=False
TP53	SRC	functional_association	STRING	0.884		combined_score=0.884; escore=0.292; dscore=0.000; STRING network_type=physical membership=False
TP53	FOXO1	functional_association	STRING	0.886		combined_score=0.886; escore=0.000; dscore=0.000; STRING network_type=physical membership=False
TP53	PSMC5	physical_PPI	STRING	0.903		combined_score=0.903; escore=0.510; dscore=0.400; STRING network_type=physical membership=True
TP53	AURKB	physical_PPI	STRING	0.908		combined_score=0.908; escore=0.510; dscore=0.500; STRING network_type=physical membership=True
TP53	TFAP2A	physical_PPI	STRING	0.913		combined_score=0.913; escore=0.510; dscore=0.000; STRING network_type=physical membership=True
TP53	UBC	functional_association	STRING	0.921		combined_score=0.921; escore=0.653; dscore=0.500; STRING network_type=physical membership=False
TP53	CTNNB1	functional_association	STRING	0.927		combined_score=0.927; escore=0.000; dscore=0.000; STRING network_type=physical membership=False
TP53	BIRC5	functional_association	STRING	0.93		combined_score=0.930; escore=0.000; dscore=0.750; STRING network_type=physical membership=False
TP53	ERBB2	functional_association	STRING	0.935		combined_score=0.935; escore=0.172; dscore=0.000; STRING network_type=physical membership=False
TP53	KDM1A	functional_association	STRING	0.941		combined_score=0.941; escore=0.726; dscore=0.500; STRING network_type=physical membership=False
TP53	PPARG	functional_association	STRING	0.949		combined_score=0.949; escore=0.305; dscore=0.500; STRING network_type=physical membership=False
TP53	SMAD3	physical_PPI	STRING	0.963		combined_score=0.963; escore=0.469; dscore=0.000; STRING network_type=physical membership=True
TP53	RPS27A	functional_association	STRING	0.971		combined_score=0.971; escore=0.923; dscore=0.500; STRING network_type=physical membership=False
TP53	PLK1	physical_PPI	STRING	0.981		combined_score=0.981; escore=0.737; dscore=0.000; STRING network_type=physical membership=True
TP53	WT1	physical_PPI	STRING	0.983		combined_score=0.983; escore=0.626; dscore=0.000; STRING network_type=physical membership=True
TP53	HMGB1	physical_PPI	STRING	0.997		combined_score=0.997; escore=0.976; dscore=0.000; STRING network_type=physical membership=True
TP53	FOXO3	physical_PPI	STRING	0.998		combined_score=0.998; escore=0.776; dscore=0.000; STRING network_type=physical membership=True
TP53	HIF1A	physical_PPI	STRING	0.999		combined_score=0.999; escore=0.847; dscore=0.000; STRING network_type=physical membership=True
TP53	PTEN	functional_association	STRING	0.999		combined_score=0.999; escore=0.748; dscore=0.900; STRING network_type=physical membership=False
ERBB2	BIRC5	functional_association	STRING	0.7		combined_score=0.700; escore=0.130; dscore=0.000; STRING network_type=physical membership=False
ERBB2	PTK7	functional_association	STRING	0.716		combined_score=0.716; escore=0.627; dscore=0.000; STRING network_type=physical membership=False
ERBB2	FN1	functional_association	STRING	0.724		combined_score=0.724; escore=0.000; dscore=0.000; STRING network_type=physical membership=False
ERBB2	NF2	functional_association	STRING	0.734		combined_score=0.734; escore=0.199; dscore=0.000; STRING network_type=physical membership=False
ERBB2	FGFR1	functional_association	STRING	0.737		combined_score=0.737; escore=0.621; dscore=0.000; STRING network_type=physical membership=False
ERBB2	RPS27A	functional_association	STRING	0.743		combined_score=0.743; escore=0.311; dscore=0.500; STRING network_type=physical membership=False
ERBB2	EFNA1	functional_association	STRING	0.754		combined_score=0.754; escore=0.000; dscore=0.650; STRING network_type=physical membership=False
ERBB2	NF1	functional_association	STRING	0.771		combined_score=0.771; escore=0.000; dscore=0.000; STRING network_type=physical membership=False
ERBB2	PTEN	functional_association	STRING	0.868		combined_score=0.868; escore=0.070; dscore=0.000; STRING network_type=physical membership=False
ERBB2	CTNNB1	physical_PPI	STRING	0.998		combined_score=0.998; escore=0.662; dscore=0.900; STRING network_type=physical membership=True
ERBB2	SRC	physical_PPI	STRING	0.999		combined_score=0.999; escore=0.850; dscore=0.900; STRING network_type=physical membership=True
PSMB6	UBA52	physical_PPI	STRING	0.942		combined_score=0.942; escore=0.853; dscore=0.500; STRING network_type=physical membership=True
PSMB6	UBC	physical_PPI	STRING	0.946		combined_score=0.946; escore=0.858; dscore=0.500; STRING network_type=physical membership=True
PSMB6	UBB	physical_PPI	STRING	0.947		combined_score=0.947; escore=0.857; dscore=0.500; STRING network_type=physical membership=True
PSMB6	RPS27A	physical_PPI	STRING	0.962		combined_score=0.962; escore=0.901; dscore=0.500; STRING network_type=physical membership=True
PSMB6	PSMC5	physical_PPI	STRING	0.996		combined_score=0.996; escore=0.978; dscore=0.000; STRING network_type=physical membership=True
PSMB6	PSMC3	physical_PPI	STRING	0.998		combined_score=0.998; escore=0.990; dscore=0.000; STRING network_type=physical membership=True
NUF2	INCENP	functional_association	STRING	0.755		combined_score=0.755; escore=0.000; dscore=0.000; STRING network_type=physical membership=False
NUF2	PTTG1	functional_association	STRING	0.81		combined_score=0.810; escore=0.000; dscore=0.000; STRING network_type=physical membership=False
NUF2	PLK1	functional_association	STRING	0.865		combined_score=0.865; escore=0.000; dscore=0.500; STRING network_type=physical membership=False
NUF2	UBE2C	functional_association	STRING	0.887		combined_score=0.887; escore=0.000; dscore=0.000; STRING network_type=physical membership=False
NUF2	CDCA8	functional_association	STRING	0.926		combined_score=0.926; escore=0.000; dscore=0.000; STRING network_type=physical membership=False
NUF2	CDCA5	functional_association	STRING	0.931		combined_score=0.931; escore=0.000; dscore=0.000; STRING network_type=physical membership=False
NUF2	CCNB2	functional_association	STRING	0.932		combined_score=0.932; escore=0.000; dscore=0.400; STRING network_type=physical membership=False
NUF2	BIRC5	functional_association	STRING	0.949		combined_score=0.949; escore=0.000; dscore=0.000; STRING network_type=physical membership=False
NUF2	AURKB	functional_association	STRING	0.95		combined_score=0.950; escore=0.292; dscore=0.000; STRING network_type=physical membership=False
NUF2	CENPF	functional_association	STRING	0.952		combined_score=0.952; escore=0.000; dscore=0.000; STRING network_type=physical membership=False
NUF2	CDC20	functional_association	STRING	0.962		combined_score=0.962; escore=0.000; dscore=0.500; STRING network_type=physical membership=False
NUF2	BUB1B	functional_association	STRING	0.98		combined_score=0.980; escore=0.189; dscore=0.500; STRING network_type=physical membership=False
NUF2	DSN1	physical_PPI	STRING	0.991		combined_score=0.991; escore=0.874; dscore=0.540; STRING network_type=physical membership=True
NUF2	SPC25	physical_PPI	STRING	0.999		combined_score=0.999; escore=0.995; dscore=0.900; STRING network_type=physical membership=True
RPS27A	CTNNB1	functional_association	STRING	0.735		combined_score=0.735; escore=0.381; dscore=0.500; STRING network_type=physical membership=False
RPS27A	PTEN	functional_association	STRING	0.752		combined_score=0.752; escore=0.467; dscore=0.500; STRING network_type=physical membership=False
RPS27A	UBE2C	physical_PPI	STRING	0.806		combined_score=0.806; escore=0.500; dscore=0.500; STRING network_type=physical membership=True
RPS27A	ANAPC2	physical_PPI	STRING	0.954		combined_score=0.954; escore=0.900; dscore=0.500; STRING network_type=physical membership=True
RPS27A	USP34	physical_PPI	STRING	0.961		combined_score=0.961; escore=0.926; dscore=0.400; STRING network_type=physical membership=True
RPS27A	PSMC5	physical_PPI	STRING	0.975		combined_score=0.975; escore=0.915; dscore=0.500; STRING network_type=physical membership=True
RPS27A	PSMC3	physical_PPI	STRING	0.975		combined_score=0.975; escore=0.935; dscore=0.500; STRING network_type=physical membership=True
RPS27A	UBB	physical_PPI	STRING	0.998		combined_score=0.998; escore=0.983; dscore=0.900; STRING network_type=physical membership=True
RPS27A	UBC	physical_PPI	STRING	0.998		combined_score=0.998; escore=0.986; dscore=0.900; STRING network_type=physical membership=True
RPS27A	UBA52	physical_PPI	STRING	0.999		combined_score=0.999; escore=0.997; dscore=0.900; STRING network_type=physical membership=True
CDCA5	INCENP	functional_association	STRING	0.777		combined_score=0.777; escore=0.000; dscore=0.000; STRING network_type=physical membership=False
CDCA5	PTTG1	functional_association	STRING	0.829		combined_score=0.829; escore=0.000; dscore=0.000; STRING network_type=physical membership=False
CDCA5	UBE2C	functional_association	STRING	0.835		combined_score=0.835; escore=0.000; dscore=0.000; STRING network_type=physical membership=False
CDCA5	BUB1B	functional_association	STRING	0.851		combined_score=0.851; escore=0.000; dscore=0.000; STRING network_type=physical membership=False
CDCA5	CENPF	functional_association	STRING	0.857		combined_score=0.857; escore=0.162; dscore=0.000; STRING network_type=physical membership=False
CDCA5	PLK1	functional_association	STRING	0.893		combined_score=0.893; escore=0.292; dscore=0.500; STRING network_type=physical membership=False
CDCA5	CDC20	functional_association	STRING	0.938		combined_score=0.938; escore=0.000; dscore=0.000; STRING network_type=physical membership=False
CDCA5	BIRC5	functional_association	STRING	0.942		combined_score=0.942; escore=0.000; dscore=0.000; STRING network_type=physical membership=False
CDCA5	CDCA8	functional_association	STRING	0.961		combined_score=0.961; escore=0.000; dscore=0.000; STRING network_type=physical membership=False
CDCA5	AURKB	physical_PPI	STRING	0.968		combined_score=0.968; escore=0.000; dscore=0.000; STRING network_type=physical membership=True
CDCA5	CCNB2	functional_association	STRING	0.969		combined_score=0.969; escore=0.000; dscore=0.400; STRING network_type=physical membership=False
CDCA5	SMC3	physical_PPI	STRING	0.994		combined_score=0.994; escore=0.834; dscore=0.500; STRING network_type=physical membership=True
DUSP6	SPRY4	functional_association	STRING	0.752		combined_score=0.752; escore=0.000; dscore=0.000; STRING network_type=physical membership=False
DUSP6	SPRY2	functional_association	STRING	0.829		combined_score=0.829; escore=0.000; dscore=0.000; STRING network_type=physical membership=False
SPC25	CENPF	functional_association	STRING	0.734		combined_score=0.734; escore=0.000; dscore=0.000; STRING network_type=physical membership=False
SPC25	CCNB2	functional_association	STRING	0.738		combined_score=0.738; escore=0.000; dscore=0.400; STRING network_type=physical membership=False
SPC25	PLK1	functional_association	STRING	0.774		combined_score=0.774; escore=0.000; dscore=0.500; STRING network_type=physical membership=False
SPC25	UBE2C	functional_association	STRING	0.777		combined_score=0.777; escore=0.063; dscore=0.000; STRING network_type=physical membership=False
SPC25	CDC20	functional_association	STRING	0.802		combined_score=0.802; escore=0.000; dscore=0.500; STRING network_type=physical membership=False
SPC25	BIRC5	functional_association	STRING	0.847		combined_score=0.847; escore=0.000; dscore=0.000; STRING network_type=physical membership=False
SPC25	BUB1B	functional_association	STRING	0.93		combined_score=0.930; escore=0.000; dscore=0.500; STRING network_type=physical membership=False
SPC25	DSN1	physical_PPI	STRING	0.963		combined_score=0.963; escore=0.839; dscore=0.540; STRING network_type=physical membership=True
BUB1B	PCGF2	physical_PPI	STRING	0.729		combined_score=0.729; escore=0.000; dscore=0.720; STRING network_type=physical membership=True
BUB1B	DSN1	functional_association	STRING	0.903		combined_score=0.903; escore=0.228; dscore=0.500; STRING network_type=physical membership=False
BUB1B	INCENP	functional_association	STRING	0.912		combined_score=0.912; escore=0.098; dscore=0.500; STRING network_type=physical membership=False
BUB1B	PTTG1	functional_association	STRING	0.978		combined_score=0.978; escore=0.336; dscore=0.000; STRING network_type=physical membership=False
BUB1B	ANAPC15	physical_PPI	STRING	0.978		combined_score=0.978; escore=0.837; dscore=0.720; STRING network_type=physical membership=True
BUB1B	BIRC5	functional_association	STRING	0.987		combined_score=0.987; escore=0.095; dscore=0.500; STRING network_type=physical membership=False
BUB1B	UBE2C	physical_PPI	STRING	0.991		combined_score=0.991; escore=0.287; dscore=0.720; STRING network_type=physical membership=True
BUB1B	CCNB2	physical_PPI	STRING	0.993		combined_score=0.993; escore=0.279; dscore=0.400; STRING network_type=physical membership=True
BUB1B	CDCA8	functional_association	STRING	0.994		combined_score=0.994; escore=0.000; dscore=0.500; STRING network_type=physical membership=False
BUB1B	PLK1	physical_PPI	STRING	0.999		combined_score=0.999; escore=0.845; dscore=0.720; STRING network_type=physical membership=True
BUB1B	ANAPC2	physical_PPI	STRING	0.999		combined_score=0.999; escore=0.993; dscore=0.720; STRING network_type=physical membership=True
BUB1B	AURKB	physical_PPI	STRING	0.999		combined_score=0.999; escore=0.327; dscore=0.500; STRING network_type=physical membership=True
BUB1B	CDC20	physical_PPI	STRING	0.999		combined_score=0.999; escore=0.999; dscore=0.800; STRING network_type=physical membership=True
BUB1B	CENPF	physical_PPI	STRING	0.999		combined_score=0.999; escore=0.000; dscore=0.900; STRING network_type=physical membership=True
BUB1B	CDC16	physical_PPI	STRING	0.999		combined_score=0.999; escore=0.992; dscore=0.720; STRING network_type=physical membership=True
PPARG	SRC	functional_association	STRING	0.736		combined_score=0.736; escore=0.071; dscore=0.000; STRING network_type=physical membership=False
